"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Weighted median",15,0.000350891559315323,0.000518175866555185,-0.000664714476790671,0.00136649759542132,0.498300049039436,FALSE,TRUE,"HF","Weighted median - HF",0.8
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple median",15,0.00052354047299701,0.000588347727114487,-0.000629599882533384,0.0016766808285274,0.37354712105286,FALSE,FALSE,"Tophits","Simple median - Tophits",0.78
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","FE IVW",15,0.000160692661258544,0.000369899405769431,-0.000586087832524776,0.000907473155041863,0.663981589870348,FALSE,TRUE,"HF","FE IVW - HF",0.78
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised median",15,0.000350891559315323,0.000527681265124122,-0.000683344715644487,0.00138512783427513,0.50607047119716,FALSE,TRUE,"HF","Penalised median - HF",0.77
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple median",15,0.00052354047299701,0.000585792048726802,-0.000624590844937453,0.00167167179093147,0.371465871862561,FALSE,TRUE,"HF","Simple median - HF",0.76
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple median",15,0.00052354047299701,0.000586920758660947,-0.0006268007575737,0.00167388402175139,0.372386397045727,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.76
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Weighted median",15,0.000350891559315323,0.000527623023911959,-0.000683230564966231,0.00138501368359688,0.506023523050025,TRUE,TRUE,"DF + HF","Weighted median - DF + HF",0.75
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple median",15,0.00052354047299701,0.000566389186374458,-0.000586561933529871,0.00163364287952389,0.355305378416979,TRUE,FALSE,"DF","Simple median - DF",0.72
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple mode",15,0.00066961158670352,0.000944994557467535,-0.00119119413955238,0.00251311645689309,0.495738587951661,TRUE,FALSE,"DF","Simple mode - DF",0.72
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","RE IVW",15,0.000160692661258544,0.000381010456011898,-0.000586087832524776,0.000907473155041863,0.679608983175111,TRUE,TRUE,"DF + HF","RE IVW - DF + HF",0.71
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","RE IVW",15,0.000160692661258544,0.000381010456011898,-0.000586087832524776,0.000907473155041863,0.679608983175111,FALSE,FALSE,"Tophits","RE IVW - Tophits",0.7
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Weighted median",15,0.000350891559315323,0.00053747371896797,-0.0007025375724987,0.00140432069112935,0.513850776269116,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.7
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised median",15,0.000350891559315323,0.000535515868970407,-0.000698700257016344,0.00140048337564699,0.512313074530323,TRUE,TRUE,"DF + HF","Penalised median - DF + HF",0.7
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised mode",15,0.000260496471367413,0.000636302187229426,-0.000986632898886324,0.00150762584162115,0.688447348480132,FALSE,TRUE,"HF","Penalised mode - HF",0.69
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple mean",15,0.0003497127199651,0.000381657242163,-0.000398335474674379,0.00109776091460458,0.375023678025595,TRUE,TRUE,"DF + HF","Simple mean - DF + HF",0.69
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple mean",15,0.0003497127199651,0.000381657242163,-0.000398335474674379,0.00109776091460458,0.375023678025595,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.68
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","FE IVW",15,0.000160692661258544,0.000369899405769431,-0.000586087832524776,0.000907473155041863,0.663981589870348,FALSE,FALSE,"Tophits","FE IVW - Tophits",0.68
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","RE IVW",15,0.000160692661258544,0.000381010456011898,-0.000586087832524776,0.000907473155041863,0.679608983175111,TRUE,FALSE,"DF","RE IVW - DF",0.68
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised median",15,0.000350891559315323,0.000511909202943085,-0.000652432041807728,0.00135421516043837,0.493055816673112,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.67
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised median",15,0.000350891559315323,0.000539775105616203,-0.000707048207443739,0.00140883132607439,0.515647058674624,TRUE,FALSE,"DF","Penalised median - DF",0.67
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","FE IVW",15,0.000160692661258544,0.000369899405769431,-0.000586087832524776,0.000907473155041863,0.663981589870348,TRUE,FALSE,"DF","FE IVW - DF",0.66
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Weighted mode",15,0.000260496471367413,0.000674396472927928,-0.00106129632687217,0.00158228926960699,0.705106405792951,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.65
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple mean",15,0.0003497127199651,0.000381657242163,-0.000398335474674379,0.00109776091460458,0.375023678025595,FALSE,TRUE,"HF","Simple mean - HF",0.65
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Simple mean",15,0.0003497127199651,0.000381657242163,-0.000398335474674379,0.00109776091460458,0.375023678025595,TRUE,FALSE,"DF","Simple mean - DF",0.65
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Weighted median",15,0.000350891559315323,0.000529045631921176,-0.000686018825428415,0.00138780194405906,0.507167979550465,TRUE,FALSE,"DF","Weighted median - DF",0.65
"ebi-a-GCST000998","ukb-d-C_LYMPHOMA","Penalised mode",15,0.000260496471367413,0.000689317595613698,-0.00109054118994518,0.00161153413268,0.711169150356442,FALSE,FALSE,"Tophits","Penalised mode - Tophits",0.64
